final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
anthopleura elegantissima,anthopleura elegantissima,point contact,283347,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,Anthopleura elegantissima,1,Anthopleura elegantissima,283347
anthopleura mariae,anthopleura mariae,point contact,1471947,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,Anthopleura mariae,3,Anthopleura mariae,445308
anthopleura sola,anthopleura sola,point contact,240753,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,Anthopleura sola,1,Anthopleura sola,240753
anthopleura spp,anthopleura spp,NA,100696,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,NULL,5,Anthopleura spp,100696
anthopleura xanthogrammica,anthopleura xanthogrammica,point contact,283377,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anthopleura,Anthopleura xanthogrammica,1,Anthopleura xanthogrammica,283377
antiopella barbarensis,antiopella barbarensis,quadrat,575288,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Janolidae,Antiopella,Antiopella barbarensis,4,Antiopella barbarensis,575288
antiopella fusca,antiopella fusca,quadrat,1340034,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Janolidae,Antiopella,Antiopella fusca,4,Antiopella fusca,1340034
antithamnionella spp,antithamnionella spp,point contact,143828,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,NULL,3,Antithamnionella spp,143828
antithamnion spp,antithamnion spp,point contact,370362,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnion,NULL,4,Antithamnion spp,143827
aplidium arenatum; aplidium propinquum,aplidium arenatum; aplidium propinquum,point contact,103471,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NULL,3,Aplidium spp,103471
