final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
leptocladia binghamiae,leptocladia binghamiae,point contact,372722,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Leptocladia,Leptocladia binghamiae,4,Leptocladia binghamiae,372722
leptogorgia chilensis,lophogorgia chilensis,point contact,286222,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,Leptogorgia chilensis,4,Leptogorgia chilensis,286222
leptopecten spp,leptopecten spp,point contact,394308,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Leptopecten,NULL,4,Leptopecten spp,394308
leptosiphonia brodiei,leptosiphonia brodiei,point contact,1340377,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Leptosiphonia,Leptosiphonia brodiei,4,Polysiphonia/Eutrichosiphonia/Leptosiphonia/Vertebrata spp,143674
lessoniopsis littoralis,lessoniopsis littoralis,point contact,372508,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Lessoniopsis,Lessoniopsis littoralis,2,Lessoniopsis littoralis,372508
leucetta losangelensis,leucetta losangelensis,point contact,164341,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Calcarea,Leucosolenida,Grantiidae,Leucandra,Leucandra losangelensis,4,Leucandra losangelensis,164341
leucilla nuttingi,leucilla nuttingi,point contact,164219,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Calcarea,Leucosolenida,Amphoriscidae,Leucilla,Leucilla nuttingi,4,Leucilla nuttingi,164219
leucosolenia eleanor,leucosolenia eleanor,point contact,164523,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Calcarea,Leucosolenida,Leucosoleniidae,Leucosolenia,Leucosolenia eleanor,4,Leucosolenia eleanor,164523
lichen,lichen,point contact,382455,World Register of Marine Species:  www.marinespecies.org,Fungi,(Division) Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,NULL,NULL,3,Lichen,438309
ligia pallasi,ligia pallasi,quadrat,257558,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,Ligia pallasii,4,Ligia spp,146998
ligia spp,ligia spp,quadrat,146998,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,NULL,2,Ligia spp,146998
limacia cockerelli,limacia cockerelli,quadrat,531202,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Limacia,Limacia cockerelli,3,Limacia cockerelli,531202
limacia spp,limacia spp,NA,138368,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Limacia,NULL,5,Limacia spp,138368
linckia columbiae,linckia columbiae,swath,378630,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia columbiae,3,Linckia columbiae,378630
liparis florae,liparis florae,quadrat,274513,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Liparis,Liparis florae,5,DROP,NA
lirabuccinum dirum,lirabuccinum dirum,quadrat,491076,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Tudiclidae,Lirabuccinum,Lirabuccinum dirum,2,Lirabuccinum dirum,491076
lirobittium attenuatum,lirobittium attenuatum,quadrat,580433,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Cerithiidae,Lirobittium,Lirobittium attenuatum,2,Lirobittium attenuatum,580433
lirularia spp; margarites spp,lirularia spp; margarites spp,quadrat,443,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,NULL,NULL,1,Lirularia/Margarites spp,443
lithophyllum impressum,lithophyllum impressum,point contact,372596,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Lithophyllum,Lithophyllum impressum,4,Encrusting coralline,15308
lithophyllum spp; lithothamnion spp,lithophyllum spp; lithothamnion spp,point contact,15308,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,NULL,NULL,NULL,3,Lithophyllum/Lithothamnion spp,15308
lithothrix aspergillum,lithothrix aspergillum,point contact,372598,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Lithothrix,Lithothrix aspergillum,1,Lithothrix aspergillum,372598
littorina keenae,littorina keenae,quadrat,445651,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina keenae,1,Littorina keenae,445651
littorina plena; littorina scutulata,littorina plena; littorina scutulata,quadrat,138135,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,NULL,1,Littorina plena/scutulata,138135
littorina sitkana; littorina subrotundata,littorina sitkana; littorina subrotundata,quadrat,138135,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,NULL,1,Littorina sitkana/subrotundata,138135
littorina spp,littorina spp,quadrat,138135,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,NULL,5,Littorina spp,138135
lomentaria hakodatensis,lomentaria hakodatensis,point contact,232230,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,Lomentaria hakodatensis,2,Lomentaria hakodatensis,232230
lomentaria spp,lomentaria spp,NA,144245,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,NULL,5,Lomentaria spp,144245
lophopanopeus bellus,lophopanopeus bellus,quadrat,443976,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Lophopanopeus,Lophopanopeus bellus,4,Lophopanopeus bellus,443976
lottia asmi,lottia asmi,quadrat,510016,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia asmi,2,Lottia asmi,510016
lottia austrodigitalis; lottia digitalis,lottia austrodigitalis; lottia digitalis,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,1,Lottia austrodigitalis/digitalis,160336
lottia fenestrata,lottia fenestrata,quadrat,456591,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia fenestrata,5,Lottia fenestrata/paradigitalis/strigatella,160336
lottia fenestrata; lottia paradigitalis; lottia strigatella,lottia fenestrata; lottia paradigitalis; lottia strigatella,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,1,Lottia fenestrata/paradigitalis/strigatella,160336
lottia fenestrata; lottia scutum,lottia fenestrata; lottia scutum,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,5,DROP,NA
lottia gigantea,lottia gigantea,quadrat,456593,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia gigantea,1,Lottia gigantea,456593
lottia instabilis,lottia ochracea,quadrat,510025,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia instabilis,1,Lottia instabilis,510025
lottia instabilis; lottia pelta,lottia ochracea; lottia pelta,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,5,DROP,NA
lottia limatula,lottia limatula,quadrat,456596,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia limatula,1,Lottia limatula,456596
lottia maccleani,lottia maccleani,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,4,DROP,NA
lottia paradigitalis; lottia strigatella,lottia paradigitalis; lottia strigatella,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,5,Lottia fenestrata/paradigitalis/strigatella,160336
lottia pelta,lottia pelta,quadrat,456602,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia pelta,1,Lottia pelta,456602
lottia persona,lottia persona,quadrat,456603,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia persona,1,Lottia persona,456603
lottia polyfacies,lottia polyfacies,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,4,Lottia fenestrata/paradigitalis/strigatella,160336
lottia scabra; lottia conus,lottia scabra; lottia conus,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,1,Lottia scabra/conus,160336
lottia scutum,lottia scutum,quadrat,456605,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,Lottia scutum,1,Lottia scutum,456605
lottia spp,lottia spp,quadrat,160336,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Lottiidae,Lottia,NULL,5,DROP,NA
loxorhynchus crispatus,loxorhynchus crispatus,quadrat,441601,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Loxorhynchus crispatus,4,Loxorhynchus crispatus,441601
lucapinella callomarginata,lucapinella callomarginata,quadrat,527883,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Lucapinella,Lucapinella callomarginata,4,Lucapinella callomarginata,527883
lythrypnus dalli,lythrypnus dalli,NA,281457,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Lythrypnus,Lythrypnus dalli,5,DROP,NA
macrocystis pyrifera,macrocystis pyrifera,point contact,232231,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,2,Macrocystis pyrifera,232231
macron aethiops,macron aethiops,quadrat,489189,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinoidea incertae,Macron,Macron aethiops,4,Macron aethiops,489189
macron lividus,macron lividus,quadrat,489193,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinoidea incertae,Macron,Macron lividus,2,Macron lividus,489193
madracis spp,madracis spp,point contact,135125,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Scleractinia,Pocilloporidae,Madracis,NULL,4,Madracis spp,135125
magallana gigas,magallana gigas; prev. crassostrea gigas,point contact,836033,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Magallana,Magallana gigas,3,Magallana gigas,836033
margarites helicinus,margarites helicinus,quadrat,141821,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Margarites pupillus,4,Lirularia/Margarites spp,443
margarites pupillus,margarites pupillus,quadrat,528731,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Margarites pupillus,4,Lirularia/Margarites spp,443
mastocarpus spp,mastocarpus spp,point contact,144163,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,NULL,1,Mastocarpus spp,144163
maxwellia gemma,maxwellia gemma,quadrat,408591,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Maxwellia,Maxwellia gemma,3,Maxwellia gemma,408591
mazzaella affinis,mazzaella affinis,point contact,371703,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella affinis,1,Mazzaella affinis,371703
mazzaella californica,mazzaella californica,point contact,371699,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella californica,4,Mazzaella spp.,369878
mazzaella flaccida; mazzaella splendens,mazzaella cordata; mazzaella splendens,point contact,369878,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,NULL,1,Mazzaella flaccida/oregona/splendens,369878
mazzaella japonica,mazzaella japonica,point contact,371700,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella japonica,3,Mazzaella japonica,371700
mazzaella leptorhynchos,mazzaella leptorhynchos,point contact,371705,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella leptorhynchos,1,Mazzaella leptorhynchos,371705
mazzaella linearis,mazzaella linearis,point contact,371704,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella linearis,3,Mazzaella linearis,371704
mazzaella oregona,mazzaella oregona,point contact,376274,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella oregona,1,Mazzaella flaccida/oregona/splendens,369878
mazzaella parksii,mazzaella parksii,point contact,376220,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella parksii,1,Mazzaella parksii,376220
mazzaella parva,mazzaella parva,point contact,376275,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella parva,4,Mazzaella spp.,369878
mazzaella phyllocarpa,mazzaella phyllocarpa,point contact,373788,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella phyllocarpa,3,Mazzaella phyllocarpa,373788
mazzaella spp,mazzaella spp,point contact,369878,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,NULL,5,Mazzaella flaccida/oregona/splendens,369878
mazzaella volans,mazzaella volans,point contact,371706,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Mazzaella volans,3,Mazzaella volans,371706
mediaster aequalis,mediaster aequalis,swath,242160,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster aequalis,4,Mediaster aequalis,242160
megabalanus californicus,megabalanus californicus,point contact,394981,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Megabalanus,Megabalanus californicus,3,Megabalanus californicus,394981
megastraea undosa,megastraea undosa,quadrat,528084,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Megastraea,Megastraea undosa,3,Megastraea undosa,528084
megathura crenulata,megathura crenulata,quadrat,527885,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,Megathura crenulata,3,Megathura crenulata,527885
membranipora membranacea,membranipora membranacea,point contact,111411,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,4,Membranipora spp,110938
membranipora spp,membranipora spp,point contact,110938,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,NULL,3,Membranipora spp,110938
mesocentrotus franciscanus,strongylocentrotus franciscanus,quadrat,591102,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Mesocentrotus franciscanus,3,Mesocentrotus franciscanus,591102
mesophyllum spp; clathromorphum spp,mesophyllum spp; clathromorphum spp,point contact,368755,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,NULL,NULL,3,Mesophyllum/Clathromorphum/Neopolyporolithon spp,368755
metacarcinus magister,cancer magister,quadrat,440388,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,4,Metacarcinus magister,440388
metandrocarpa taylori,metandrocarpa taylori,point contact,250836,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Metandrocarpa,Metandrocarpa taylori,4,Metandrocarpa taylori,250836
metridium senile,metridium senile,point contact,100982,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,Metridium senile,3,Metridium senile,100982
mexacanthina lugubris,mexacanthina lugubris,quadrat,404505,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Mexacanthina,Mexacanthina lugubris,2,Mexacanthina lugubris,404505
mitromorpha gracilior,cymakra gracilior,quadrat,435259,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitromorphidae,Mitromorpha,Mitromorpha gracilior,4,Mitromorpha gracilior,435259
modiolus spp,modiolus spp,point contact,138223,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Modiolidae,Modiolus,NULL,4,Modiolus spp,138223
mopalia ciliata,mopalia ciliata,quadrat,386342,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Mopalia ciliata,4,Mopalia spp,385567
mopalia muscosa,mopalia muscosa,quadrat,386353,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Mopalia muscosa,4,Mopalia spp,385567
mopalia spectabilis,mopalia spectabilis,quadrat,386360,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Mopalia spectabilis,4,Mopalia spp,385567
mopalia spp,mopalia spp,quadrat,385567,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,NULL,1,Mopalia spp,385567
mopalia vespertina,mopalia vespertina,quadrat,386362,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Mopalia vespertina,4,Mopalia spp,385567
muricea californica,muricea californica,point contact,287556,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Plexauridae,Muricea,Muricea californica,4,Muricea californica,287556
muricidae,muricidae,NA,148,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,NULL,NULL,5,Muricidae,148
musculus spp,musculus spp,point contact,138225,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,NULL,4,Musculus spp,138225
mycale macginitiei,mycale macginitiei,point contact,168643,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,Mycale (Mycale),4,Mycale macginitiei,168643
mytilisepta bifurcata; brachidontes adamsianus,mytilisepta bifurcata; brachidontes adamsianus,point contact,211,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,NULL,NULL,1,Mytilisepta/Brachidontes spp,211
mytilus californianus,mytilus californianus,point contact,367837,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus californianus,1,Mytilus californianus,367837
mytilus spp,mytilus spp,point contact,138228,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,NULL,5,DROP,NA
mytilus trossulus; galloprovincialis; edulis,mytilus trossulus; galloprovincialis; edulis,point contact,138228,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,NULL,1,Mytilus trossulus/galloprovincialis/edulis,138228
myxilla incrustans,myxilla incrustans,point contact,133882,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Poecilosclerida,Myxillidae,Myxilla,Myxilla incrustans,4,Myxilla incrustans,133882
nassarius mendicus,nassarius mendicus,quadrat,560256,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius,Nassarius mendicus,3,Nassarius mendicus,560256
navanax inermis,navanax inermis,quadrat,367836,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Navanax,Navanax inermis,3,Navanax inermis,367836
neesia buergeri,neesia buergeri,point contact,176760,World Register of Marine Species:  www.marinespecies.org,Animalia,Nemertea,Hoplonemertea,Monostilifera,Neesiidae,Neesia,Neesia buergeri,4,DROP,NA
nemalion elminthoides,nemalion elminthoides,point contact,145765,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Nemaliales,Nemaliaceae,Nemalion,Nemalion elminthoides,2,Nemalion elminthoides,145765
neoamphitrite robusta,neoamphitrite robusta,point contact,334122,World Register of Marine Species:  www.marinespecies.org,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Neoamphitrite,Neoamphitrite robusta,3,Neoamphitrite robusta,334122
neobernaya spadicea,neobernaya spadicea,quadrat,580674,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Neobernaya,Neobernaya spadicea,4,Neobernaya spadicea,580674
neogastroclonium subarticulatum,neogastroclonium subarticulatum,point contact,503971,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Neogastroclonium,Neogastroclonium subarticulatum,1,Neogastroclonium subarticulatum,503971
neopolyporolithon reclinatum,neopolyporolithon reclinatum,point contact,496164,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Neopolyporolithon,Neopolyporolithon reclinatum,4,Mesophyllum/Clathromorphum/Neopolyporolithon spp,368755
neoptilota spp; ptilota spp,neoptilota spp; ptilota spp,point contact,172527,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,NULL,NULL,2,Neoptilota/Ptilota spp,172527
neorhodomela larix,neorhodomela larix,point contact,372616,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela larix,1,Neorhodomela larix,372616
neorhodomela oregona,neorhodomela oregona,point contact,372473,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela oregona,1,Neorhodomela oregona,372473
neorhodomela oregona; odonthalia floccosa,neorhodomela oregona; odonthalia floccosa,NA,1646407,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,NULL,NULL,5,Neorhodomela oregona/Odonthalia floccosa,369944
neorhodomela spp,neorhodomela spp,NA,369944,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,NULL,5,Neorhodomela spp,369944
neostylidium eschrichtii,bittium eschrichtii,quadrat,744620,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Cerithiidae,Neostylidium,Neostylidium eschrichtii,1,Neostylidium eschrichtii,744620
nereocystis luetkeana,nereocystis luetkeana,point contact,240752,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,Nereocystis luetkeana,3,Nereocystis luetkeana,240752
neverita lewisii,neverita lewisii,quadrat,718659,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Neverita,Neverita lewisii,4,Neverita lewisii,718659
nienburgia andersoniana,nienburgia andersoniana,point contact,372617,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nienburgia,Nienburgia andersoniana,3,Nienburgia andersoniana,372617
no data,the voucher or the data has been lost for this organism,NA,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
no mobiles found,no mobile invertebrates were found in the sampled quadrat (this classification is used for the quadrat surveys only),NA,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
none,no species was the final classification,NA,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
norrisia norrisi,norrisia norrisi,quadrat,534181,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Norrisia,Norrisia norrisii,2,Norrisia norrisii,534181
norrissia setchellii,norrissia setchellii,point contact,372620,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Norrissia,Norrissia setchellii,3,Norrissia setchellii,372620
no swath species found,no swath species found,NA,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
nucella canaliculata,nucella canaliculata,quadrat,404205,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella canaliculata,1,Nucella canaliculata,404205
nucella emarginata; nucella ostrina,nucella emarginata; nucella ostrina,quadrat,138199,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,NULL,1,Nucella emarginata/ostrina,138199
